model_name,variant,price,ex_showroom_price,on_road_price,category,fuel_type,transmission,engine_cc,power_hp,torque_nm,mileage_kmpl,seating_capacity,body_color,year,available,features,description
Tata Nexon,XZ+ Dark,1050000,980000,1050000,SUV,Petrol,Automatic,1199,120,170,17.4,5,Starlight,2024,true,"Sunroof|360 Camera|Wireless Charging|Ventilated Seats","The Tata Nexon XZ+ Dark Edition is a feature-packed compact SUV with a bold dark theme. Powered by a 1.2L turbo petrol engine producing 120 HP, it offers an engaging driving experience with its AMT gearbox. Safety highlights include 5-star GNCAP rating, 6 airbags, and ESP."
Tata Nexon,XZ+ Diesel,1150000,1080000,1150000,SUV,Diesel,Manual,1497,115,260,23.2,5,Atlas Black,2024,true,"Sunroof|Connected Car|TPMS|Cruise Control","The Tata Nexon XZ+ Diesel delivers exceptional torque and fuel efficiency. Its 1.5L diesel engine produces 260 Nm of torque, making highway drives effortless. Equipped with an 10.25-inch touchscreen with wireless Apple CarPlay and Android Auto."
Hyundai Creta,SX(O),1825000,1720000,1825000,SUV,Petrol,Automatic,1482,160,253,17.6,5,Titan Grey,2024,true,"ADAS Level 2|Panoramic Sunroof|Bose Audio|Ventilated Seats","The Hyundai Creta SX(O) is a premium mid-size SUV featuring Level 2 ADAS with 19 safety features. Its 1.5L turbo GDi engine produces 160 HP paired with a 7-speed DCT. Interior highlights include dual-zone climate control and a 10.25-inch digital cluster."
Hyundai Creta,EX,1350000,1270000,1350000,SUV,Petrol,Manual,1497,115,144,17.0,5,Polar White,2024,true,"LED Headlamps|Rear AC Vents|Push Button Start","The Hyundai Creta EX is an excellent value proposition in the mid-size SUV segment. It offers a comfortable ride, spacious cabin, and essential features at a competitive price point."
Maruti Suzuki Brezza,ZXi+,1385000,1310000,1385000,SUV,Petrol,Automatic,1462,103,137,19.8,5,Sizzling Red,2024,true,"Electric Sunroof|HUD|360 Camera|Connected Car","The Maruti Brezza ZXi+ combines Suzuki's reliability with modern features. The K15C DualJet engine with mild-hybrid delivers excellent fuel efficiency. Features include a 9-inch SmartPlay Pro+ infotainment system and Suzuki Connect telematics."
Mahindra XUV700,AX7 Luxury,2350000,2210000,2350000,SUV,Diesel,Automatic,2184,185,420,16.1,7,Midnight Black,2024,true,"ADAS|Panoramic Sunroof|Sony 3D Audio|Dual Screens","The Mahindra XUV700 AX7 Luxury is a flagship 7-seater SUV with segment-first features. Its 2.2L mHawk diesel engine produces a massive 185 HP and 420 Nm. ADAS suite includes adaptive cruise control, lane keep assist, and forward collision warning."
Mahindra Thar,LX Hard Top Diesel AT,1850000,1740000,1850000,SUV,Diesel,Automatic,2184,150,320,15.2,4,Aquamarine,2024,true,"Roof-Mounted Speakers|Adventure Statistics|Tyre Pressure Monitor","The Mahindra Thar LX is India's most iconic off-roader now with modern comforts. Features a 2.2L mHawk diesel engine, 4x4 with shift-on-fly, and mechanical locking differential. Perfect for weekend adventures and daily commuting alike."
Kia Seltos,HTX+,1650000,1560000,1650000,SUV,Petrol,Automatic,1482,160,253,17.5,5,Gravity Grey,2024,true,"Ventilated Seats|Bose Audio|Sunroof|Connected Car","The Kia Seltos HTX+ offers a premium experience with its 1.5L Turbo GDi engine producing 160 HP. Features include a 10.25-inch touchscreen with OTA updates, 8-speaker Bose sound system, and Kia Connect with 70+ connected car features."
Maruti Suzuki Grand Vitara,Alpha+ Hybrid,1940000,1830000,1940000,SUV,Hybrid,Automatic,1490,116,122,27.9,5,Celestial Blue,2024,true,"Strong Hybrid|Panoramic Sunroof|HUD|Wireless Charging","The Grand Vitara Alpha+ Hybrid is India's most fuel-efficient SUV at 27.97 kmpl. Toyota's strong hybrid system allows pure EV driving in city conditions. Features include a panoramic sunroof, head-up display, and 360-degree camera."
Tata Harrier,Fearless+ Dark,2490000,2350000,2490000,SUV,Diesel,Automatic,1956,170,350,16.8,5,Oberon Black,2024,true,"ADAS|Panoramic Sunroof|JBL Audio|Ventilated Seats","The Tata Harrier Fearless+ Dark Edition is a commanding presence on the road. Its 2.0L Kryotec diesel engine produces 170 HP with a smooth 6-speed AT. ADAS features, JBL 10-speaker audio, and a 12.3-inch floating touchscreen complete the package."
